time;Arbeitslose   ;AbgangArbeitslose  ;Arbeitslosenquote  
Dez 11;2.873.000;658.000;6,8
Nov 11;2.884.000;690.000;6,8
Okt 11;2.907.000;688.000;6,9
Sep 11;2.910.000;694.000;6,9
Aug 11;2.947.000;701.000;7
Jul 11;2.963.000;694.000;7
Jun 11;2.973.000;695.000;7
Mai 11;2.983.000;681.000;7,1
Apr 11;2.998.000;708.000;7,1
Mrz 11;3.040.000;725.000;7,2
Feb 11;3.074.000;745.000;7,3
Jan 11;3.117.000;728.000;7,4
Dez 10;3.122.000;716.000;7,4
Nov 10;3.119.000;754.000;7,4
Okt 10;3.129.000;739.000;7,4
Sep 10;3.150.000;760.000;7,5
Aug 10;3.183.000;795.000;7,6
Jul 10;3.205.000;767.000;7,6
Jun 10;3.228.000;792.000;7,7
Mai 10;3.252.000;787.000;7,7
Apr 10;3.302.000;825.000;7,8
Mrz 10;3.368.000;781.000;8
Feb 10;3.384.000;782.000;8
Jan 10;3.377.000;769.000;8
Dez 09;3.390.000;810.000;8,1
Nov 09;3.412.000;777.000;8,1
Okt 09;3.419.000;767.000;8,1
Sep 09;3.464.000;779.000;8,2
Aug 09;3.467.000;763.000;8,2
Jul 09;3.476.000;758.000;8,3
Jun 09;3.486.000;772.000;8,3
Mai 09;3.466.000;767.000;8,2
Apr 09;3.468.000;719.000;8,3
Mrz 09;3.382.000;706.000;8,1
Feb 09;3.303.000;746.000;7,9
Jan 09;3.263.000;729.000;7,8
Dez 08;3.210.000;725.000;7,7
Nov 08;3.176.000;732.000;7,6
Okt 08;3.178.000;734.000;7,6
Sep 08;3.189.000;712.000;7,6
Aug 08;3.195.000;705.000;7,6
Jul 08;3.224.000;716.000;7,7
Jun 08;3.235.000;721.000;7,7
Mai 08;3.290.000;707.000;7,9
Apr 08;3.296.000;691.000;7,9
Mrz 08;3.304.000;735.000;7,9
Feb 08;3.365.000;706.000;8
Jan 08;3.431.000;738.000;8,2
Dez 07;3.509.000;742.000;8,4
Nov 07;3.569.000;722.000;8,5
Okt 07;3.620.000;754.000;8,6
Sep 07;3.653.000;734.000;8,7
Aug 07;3.707.000;716.000;8,8
Jul 07;3.728.000;749.000;8,9
Jun 07;3.769.000;714.000;9
Mai 07;3.819.000;732.000;9,1
Apr 07;3.844.000;747.000;9,2
Mrz 07;3.891.000;732.000;9,3
Feb 07;3.960.000;712.000;9,5
Jan 07;4.026.000;712.000;9,6
